country,name,full_name,isin,currency,symbol
brazil,ABC BRASIL PN,Banco ABC Brasil SA,BRABCBACNPR4,BRL,ABCB4
brazil,BRASILAGRO ON,BrasilAgro - Co ON NM,BRAGROACNOR7,BRL,AGRO3
brazil,RUMO ON NM,RUMO Logistica Operadora Multimodal SA,BRRAILACNOR9,BRL,RAIL3
brazil,ALPARGATAS ON,Alpargatas SA,BRALPAACNOR0,BRL,ALPA3
brazil,ALPARGATAS PN,Alpargatas SA,BRALPAACNPR7,BRL,ALPA4
brazil,Aliansce Sonae,Aliansce Sonae Shopping Centers SA,BRALSOACNOR5,BRL,ALSO3
brazil,LOJAS MARISA ON,Marisa Lojas SA,BRAMARACNOR4,BRL,AMAR3
brazil,AMBEV S/A ON,Ambev SA,BRABEVACNOR1,BRL,ABEV3
brazil,Advanced Digital Health,Advanced Digital Health Medicina Preventiva SA,BRADHMACNOR9,BRL,ADHM3
brazil,AREZZO CO ON,Arezzo Industria e Comercio SA,BRARZZACNOR3,BRL,ARZZ3
brazil,BRASIL ON,Banco do Brasil SA,BRBBASACNOR3,BRL,BBAS3
brazil,BRADESCO ON,Banco Bradesco SA,BRBBDCACNOR1,BRL,BBDC3
brazil,BRADESCO PN EJ N1,Banco Bradesco SA Pref,BRBBDCACNPR8,BRL,BBDC4
brazil,BR BROKERS ON,Brasil Brokers Participacoes SA,BRBBRKACNOR4,BRL,BBRK3
brazil,MINERVA ON,Minerva SA/Brazil,BRBEEFACNOR6,BRL,BEEF3
brazil,BR PHARMA ON,Brasil Pharma SA,BRBPHAACNOR6,BRL,BPHA3
brazil,BANCO PAN SA PN,Banco Pan SA,BRBPANACNPR1,BRL,BPAN4
brazil,BRADESPAR ON,Bradespar SA,BRBRAPACNOR5,BRL,BRAP3
brazil,BRADESPAR PN,Bradespar SA,BRBRAPACNPR2,BRL,BRAP4
brazil,BRF SA ON,BRF SA,BRBRFSACNOR8,BRL,BRFS3
brazil,BR Insurance Corretora,BR Insurance Corretora de Seguros SA,BRAPERACNOR9,BRL,APER3
brazil,BRASKEM ON,Braskem SA,BRBRKMACNOR1,BRL,BRKM3
brazil,BRASKEM PNA,Braskem SA,BRBRKMACNPA4,BRL,BRKM5
brazil,BR MALLS PAR ON,BR Malls Participacoes SA,BRBRMLACNOR9,BRL,BRML3
brazil,BR PROPERT ON,BR Properties SA,BRBRPRACNOR9,BRL,BRPR3
brazil,BANRISUL PNB,BANRISUL PNB N1,BRBRSRACNPB4,BRL,BRSR6
brazil,OI ON N1,Oi SA,BROIBRACNOR1,BRL,OIBR3
brazil,OI PN,Oi SA Pref,BROIBRACNPR8,BRL,OIBR4
brazil,B2W DIGITAL ON,B2W Cia Digital,BRBTOWACNOR8,BRL,BTOW3
brazil,B3 SA Brasil Bolsa Balcao,B3 SA Brasil Bolsa Balcao,BRB3SAACNOR6,BRL,B3SA3
brazil,CAMBUCI PN,Cambuci SA,BRCAMBACNPR1,BRL,CAMB4
brazil,CSU CARDSYST ON,CSU Cardsystem SA,BRCARDACNOR9,BRL,CARD3
brazil,CYRE COM-CCP ON,Cyrela Commercial Properties SA,BRCCPRACNOR9,BRL,CCPR3
brazil,CCR SA ON,CCR SA,BRCCROACNOR2,BRL,CCRO3
brazil,CEDRO PN,CEDRO PN N1,BRCEDOACNPR5,BRL,CEDO4
brazil,CEEE-D ON,CEEE-D ON N1,BRCEEDACNOR9,BRL,CEED3
brazil,CESP PNB,Cia Energetica de Sao Paulo,BRCESPACNPB4,BRL,CESP6
brazil,COMGAS PNA,Companhia de Gas de Sao Paulo,BRCGASACNPA3,BRL,CGAS5
brazil,GRAZZIOTIN PN,Grazziotin SA,BRCGRAACNPR9,BRL,CGRA4
brazil,CIELO ON,Cielo SA,BRCIELACNOR3,BRL,CIEL3
brazil,CEMIG ON,Cia Energetica de Minas Gerais,BRCMIGACNOR6,BRL,CMIG3
brazil,CEMIG PN,CEMIG - Companhia Energetica Minas Gerais Pref,BRCMIGACNPR3,BRL,CMIG4
brazil,COELCE PNA,Cia Energetica do Ceara,BRCOCEACNPA3,BRL,COCE5
brazil,CPFL ENERGIAON NM,CPFL Energia SA,BRCPFEACNOR0,BRL,CPFE3
brazil,COPEL ON,Cia Paranaense de Energia,BRCPLEACNOR8,BRL,CPLE3
brazil,COPEL PNB,Cia Paranaense de Energia,BRCPLEACNPB9,BRL,CPLE6
brazil,CR2 ON,CR2 Empreendimentos Imobiliarios SA,BRCRDEACNOR1,BRL,CRDE3
brazil,COSAN ON,Cosan SA Industria e Comercio,BRCSANACNOR6,BRL,CSAN3
brazil,COPASA ON,Cia de Saneamento de Minas Gerais,BRCSMGACNOR5,BRL,CSMG3
brazil,SID NACIONAL ON,Cia Siderurgica Nacional SA,BRCSNAACNOR6,BRL,CSNA3
brazil,Contax Participacoes,Contax Participacoes SA,BRLIQOACNOR2,BRL,LIQO3
brazil,COTEMINAS PN,COTEMINAS PN,BRCTNMACNPR6,BRL,CTNM4
brazil,CYRELA REALT ON,Cyrela Brazil Realty SA,BRCYREACNOR7,BRL,CYRE3
brazil,DASA ON,Diagnosticos da America SA,BRDASAACNOR1,BRL,DASA3
brazil,DIRECIONAL ON,Direcional Engenharia SA,BRDIRRACNOR0,BRL,DIRR3
brazil,DURATEX ON,Duratex SA,BRDTEXACNOR3,BRL,DTEX3
brazil,ECORODOVIAS ON,EcoRodovias SA,BRECORACNOR8,BRL,ECOR3
brazil,CEEE-GT ON,CEEE-GT ON N1,BREEELACNOR8,BRL,EEEL3
brazil,ELEKEIROZ PN,Elekeiroz SA,BRELEKACNPR2,BRL,ELEK4
brazil,ELETROBRAS ON,Centrais Eletricas Brasileiras SA,BRELETACNOR6,BRL,ELET3
brazil,ELETROBRAS PNB,Centrais Eletricas Brasileiras SA,BRELETACNPB7,BRL,ELET6
brazil,EMBRAER ON,Embraer SA,BREMBRACNOR4,BRL,EMBR3
brazil,ENERGIAS BR ON,EDP - Energias do Brasil SA,BRENBRACNOR2,BRL,ENBR3
brazil,ENERGISA PN,Energisa SA,BRENGIACNPR7,BRL,ENGI4
brazil,EQUATORIAL ON,Equatorial Energia SA,BREQTLACNOR0,BRL,EQTL3
brazil,YDUQS Part ON,YDUQS Part ON,BRYDUQACNOR3,BRL,YDUQ3
brazil,ETERNIT ON,Eternit SA,BRETERACNOR3,BRL,ETER3
brazil,EUCATEX PN,Eucatex SA Industria e Comercio,BREUCAACNPR8,BRL,EUCA4
brazil,EVEN ON,Even Construtora e Incorporadora SA,BREVENACNOR8,BRL,EVEN3
brazil,EZTEC ON,Ez Tec SA,BREZTCACNOR0,BRL,EZTC3
brazil,FERBASA PN,Cia de Ferro Ligas da Bahia Ferbasa,BRFESAACNPR5,BRL,FESA4
brazil,FER HERINGER ON,Fertilizantes Heringer SA,BRFHERACNOR5,BRL,FHER3
brazil,Taurus Armas PN,Taurus Armas PN,BRTASAACNPR4,BRL,TASA4
brazil,FLEURY ON,Fleury SA,BRFLRYACNOR5,BRL,FLRY3
brazil,METALFRIO ON,Metalfrio Solutions SA,BRFRIOACNOR2,BRL,FRIO3
brazil,AES TIETE E ON N2,Aes Tiete Energia SA,BRTIETACNOR0,BRL,TIET3
brazil,AES TIETE E PN N2,Aes Tiete Energia SA,BRTIETACNPR7,BRL,TIET4
brazil,GAFISA ON,Gafisa SA,BRGFSAACNOR3,BRL,GFSA3
brazil,GERDAU ON,Gerdau SA,BRGGBRACNOR1,BRL,GGBR3
brazil,GERDAU PN N1,Gerdau SA Pref,BRGGBRACNPR8,BRL,GGBR4
brazil,GERDAU MET ON,Metalurgica Gerdau SA,BRGOAUACNOR1,BRL,GOAU3
brazil,GERDAU MET PN,Metalurgica Gerdau SA,BRGOAUACNPR8,BRL,GOAU4
brazil,GOL PN N2,Gol Linhas Aereas Inteligentes SA Pref,BRGOLLACNPR4,BRL,GOLL4
brazil,GRENDENE ON,Grendene SA,BRGRNDACNOR3,BRL,GRND3
brazil,GENERALSHOPP ON,General Shopping Brasil SA,BRGSHPACNOR7,BRL,GSHP3
brazil,HELBOR ON,Helbor Empreendimentos SA,BRHBORACNOR3,BRL,HBOR3
brazil,CIA HERING ON,Cia Hering,BRHGTXACNOR9,BRL,HGTX3
brazil,PETRORIO ON NM,Petro Rio SA,BRPRIOACNOR1,BRL,PRIO3
brazil,HYPERMARCAS ON,Hypermarcas SA,BRHYPEACNOR0,BRL,HYPE3
brazil,IDEIASNET ON,IdeiasNet SA,BRIDNTACNOR5,BRL,IDNT3
brazil,INDUSVAL PN,Banco Indusval SA,BRIDVLACNPR2,BRL,IDVL4
brazil,IGUATEMI ON,IGUATEMI ON NM,BRIGTAACNOR5,BRL,IGTA3
brazil,International Meal Company,International Meal Company,BRMEALACNOR9,BRL,MEAL3
brazil,INEPAR ON,Inepar SA Industria e Construcoes,BRINEPACNOR1,BRL,INEP3
brazil,INEPAR PN,Inepar SA Industria e Construcoes,BRINEPACNPR8,BRL,INEP4
brazil,ITAUSA ON,Itausa - Investimentos Itau SA,BRITSAACNOR0,BRL,ITSA3
brazil,ITAUSA PN,Itausa - Investimentos Itau SA,BRITSAACNPR7,BRL,ITSA4
brazil,ITAUUNIBANCO ON,Itau Unibanco Holding SA ON,BRITUBACNOR4,BRL,ITUB3
brazil,ITAUUNIBANCOPN EB N1,Itau Unibanco Banco Holding SA,BRITUBACNPR1,BRL,ITUB4
brazil,JBS ON,JBS SA,BRJBSSACNOR8,BRL,JBSS3
brazil,JOAO FORTES ON,Joao Fortes Engenharia SA,BRJFENACNOR0,BRL,JFEN3
brazil,JHSF PART ON,JHSF Participacoes SA,BRJHSFACNOR2,BRL,JHSF3
brazil,JSL ON,JSL SA,BRJSLGACNOR2,BRL,JSLG3
brazil,KEPLER WEBER ON,Kepler Weber SA,BRKEPLACNOR1,BRL,KEPL3
brazil,KLABIN S/A PN,Klabin SA,BRKLBNACNPR9,BRL,KLBN4
brazil,LOJAS AMERIC ON,Lojas Americanas SA,BRLAMEACNOR9,BRL,LAME3
brazil,LOJAS AMERIC PN,Lojas Americanas SA,BRLAMEACNPR6,BRL,LAME4
brazil,METAL LEVE ON,Mahle-Metal Leve SA,BRLEVEACNOR2,BRL,LEVE3
brazil,LIGHT S/A ON,Light SA,BRLIGTACNOR2,BRL,LIGT3
brazil,LE LIS BLANC ON,LE LIS BLANC ON NM,BRLLISACNOR4,BRL,LLIS3
brazil,LOG-IN ON,Log-in Logistica Intermodal SA,BRLOGNACNOR3,BRL,LOGN3
brazil,LOPES BRASIL ON,LPS Brasil Consultoria de Imoveis,BRLPSBACNOR0,BRL,LPSB3
brazil,LOJAS RENNER ON,Lojas Renner SA,BRLRENACNOR1,BRL,LREN3
brazil,LUPATECH ON,Lupatech SA,BRLUPAACNOR8,BRL,LUPA3
brazil,M.DIASBRANCO ON,M Dias Branco SA,BRMDIAACNOR7,BRL,MDIA3
brazil,MANGELS INDL PN,Mangels Industrial SA,BRMGELACNPR3,BRL,MGEL4
brazil,MAGAZ LUIZA ON,Magazine Luiza SA,BRMGLUACNOR2,BRL,MGLU3
brazil,MILLS ON,MILLS ON EJ NM,BRMILSACNOR2,BRL,MILS3
brazil,MMX MINER ON,MMX Mineracao e Metalicos SA,BRMMXMACNOR2,BRL,MMXM3
brazil,ENEVA ON NM,Eneva SA,BRENEVACNOR8,BRL,ENEV3
brazil,MARFRIG ON,Marfrig Alimentos SA,BRMRFGACNOR0,BRL,MRFG3
brazil,MRV ON,MRV Engenharia e Participacoes SA,BRMRVEACNOR2,BRL,MRVE3
brazil,METAL IGUACU PN,Metalgrafica Iguacu SA,BRMTIGACNPR7,BRL,MTIG4
brazil,MULTIPLAN ON,Multiplan SA,BRMULTACNOR5,BRL,MULT3
brazil,IOCHP-MAXION ON,Iochpe-Maxion SA,BRMYPKACNOR7,BRL,MYPK3
brazil,NATURA ON,Natura Cosmeticos SA,BRNATUACNOR6,BRL,NATU3
brazil,ODONTOPREV ON,Odontoprev SA,BRODPVACNOR4,BRL,ODPV3
brazil,OSX BRASIL ON,OSX Brasil SA,BROSXBACNOR8,BRL,OSXB3
brazil,P.ACUCAR-CBD PN,Companhia Brasileira deDistribuicao,BRPCARACNPR0,BRL,PCAR4
brazil,PDG REALT ON,PDG Realty SA,BRPDGRACNOR8,BRL,PDGR3
brazil,PETROBRAS ON,Petroleo Brasileiro SA,BRPETRACNOR9,BRL,PETR3
brazil,PETROBRAS PN,Petroleo Brasileiro SA PN,BRPETRACNPR6,BRL,PETR4
brazil,PROFARMA ON,PROFARMA ON NM,BRPFRMACNOR1,BRL,PFRM3
brazil,PINE PN,Banco Pine SA,BRPINEACNPR8,BRL,PINE4
brazil,PLASCAR PART ON,Plascar Participacoes Industriais,BRPLASACNOR2,BRL,PLAS3
brazil,PARANAPANEMA ON,Paranapanema SA,BRPMAMACNOR3,BRL,PMAM3
brazil,MARCOPOLO ON,Marcopolo SA,BRPOMOACNOR0,BRL,POMO3
brazil,MARCOPOLO PN,Marcopolo SA,BRPOMOACNPR7,BRL,POMO4
brazil,POSITIVO INF ON,Positivo Informatica SA,BRPOSIACNOR9,BRL,POSI3
brazil,PORTO SEGURO ON,Porto Seguro SA,BRPSSAACNOR7,BRL,PSSA3
brazil,PORTOBELLO ON,Portobello SA,BRPTBLACNOR8,BRL,PTBL3
brazil,PETTENATI PN,Pettenati SA Industria Textil,BRPTNTACNPR3,BRL,PTNT4
brazil,Enauta ON,Enauta Participacoes SA,BRENATACNOR0,BRL,ENAT3
brazil,QUALICORP ON,Qualicorp SA,BRQUALACNOR6,BRL,QUAL3
brazil,RANDON PART ON,Randon Participacoes SA,BRRAPTACNOR7,BRL,RAPT3
brazil,RANDON PART PN,Randon Participacoes SA,BRRAPTACNPR4,BRL,RAPT4
brazil,RODOBENSIMOB ON,Rodobens Negocios Imobiliarios SA,BRRDNIACNOR9,BRL,RDNI3
brazil,LOCALIZA ON,Localiza Rent a Car SA,BRRENTACNOR4,BRL,RENT3
brazil,Pomifrutas,Pomifrutas SA,BRFRTAACNOR8,BRL,FRTA3
brazil,RENOVA UNT,Renova Energia SA Unit,BRRNEWCDAM15,BRL,RNEW11
brazil,INDS ROMI ON,Industrias Romi SA,BRROMIACNOR8,BRL,ROMI3
brazil,ROSSI RESID ON,Rossi Residencial SA,BRRSIDACNOR8,BRL,RSID3
brazil,SANTANDER BR UNT,Banco Santander Brasil SA Unit,BRSANBCDAM13,BRL,SANB11
brazil,SABESP ON,Cia de Saneamento Basico do Estado,BRSBSPACNOR5,BRL,SBSP3
brazil,SAO CARLOS ON,SAO CARLOS ON NM,BRSCARACNOR7,BRL,SCAR3
brazil,SPRINGS ON,Springs Global Participacoes SA,BRSGPSACNOR4,BRL,SGPS3
brazil,TIME FOR FUN ON,T4F Entretenimento SA,BRSHOWACNOR7,BRL,SHOW3
brazil,SLC AGRICOLA ON,SLC Agricola SA,BRSLCEACNOR2,BRL,SLCE3
brazil,SARAIVA LIVR PN,Saraiva SA Livreiros Editores,BRSLEDACNPR7,BRL,SLED4
brazil,SAO MARTINHO ON,Sao Martinho SA,BRSMTOACNOR3,BRL,SMTO3
brazil,SUL AMERICA UNT,Sul America SA,BRSULACDAM12,BRL,SULA11
brazil,ENGIE BRASILON NM,Engie Brasil Energia SA,BREGIEACNOR9,BRL,EGIE3
brazil,TECNISA ON,Tecnisa SA,BRTCSAACNOR3,BRL,TCSA3
brazil,TECHNOS ON,Technos SA,BRTECNACNOR6,BRL,TECN3
brazil,TEKA PN,Teka Tecelagem Kuehnrich SA,BRTEKAACNPR3,BRL,TEKA4
brazil,TEGMA ON,Tegma Gestao Logistica,BRTGMAACNOR7,BRL,TGMA3
brazil,TIM PART S/A ON,Tim Participacoes SA,BRTIMPACNOR1,BRL,TIMP3
brazil,TOTVS ON,Totvs SA,BRTOTSACNOR8,BRL,TOTS3
brazil,TRIUNFO PART ON,TRIUNFO PART ON NM,BRTPISACNOR8,BRL,TPIS3
brazil,TRISUL ON,Trisul SA,BRTRISACNOR4,BRL,TRIS3
brazil,TAESA UNT,TAESA UNT N2,BRTAEECDAM10,BRL,TAEE11
brazil,TRAN PAULIST PN,CTEEP Cia de Transmissao de Energia,BRTRPLACNPR1,BRL,TRPL4
brazil,TARPON INV ON,Tarpon Investimentos SA,BRTRPNACNOR0,BRL,TRPN3
brazil,ULTRAPAR ON NM,Ultrapar Participacoes SA,BRUGPAACNOR8,BRL,UGPA3
brazil,UNIPAR ON,Unipar Carbocloro SA,BRUNIPACNOR7,BRL,UNIP3
brazil,UNIPAR PNB,Unipar Carbocloro SA,BRUNIPACNPB8,BRL,UNIP6
brazil,USIMINAS ON,Usinas Siderurgicas de Minas Gerais,BRUSIMACNOR3,BRL,USIM3
brazil,USIMINAS PNA,Usinas Siderurgicas de Minas Gerais,BRUSIMACNPA6,BRL,USIM5
brazil,TERRA SANTA ON,Terra Santa Agro SA,BRTESAACNOR9,BRL,TESA3
brazil,VALE ON,Vale SA,BRVALEACNOR0,BRL,VALE3
brazil,VIVER ON,Viver Incorporadora e Construtora,BRVIVRACNOR4,BRL,VIVR3
brazil,TELEF BRASIL ON,Telefonica Brasil SA,BRVIVTACNOR0,BRL,VIVT3
brazil,TELEF BRASIL PN,Telefonica Brasil SA,BRVIVTACNPR7,BRL,VIVT4
brazil,VALID ON,VALID ON NM,BRVLIDACNOR5,BRL,VLID3
brazil,WEG ON,WEG SA,BRWEGEACNOR0,BRL,WEGE3
brazil,BANRISUL PNA,BANRISUL PNA N1,BRBRSRACNPA6,BRL,BRSR5
brazil,CESP PNA,Cia Energetica de Sao Paulo,BRCESPACNPA6,BRL,CESP5
brazil,ELETROPAULO ON,ELETROPAULO ON N2,BRELPLACNOR9,BRL,ELPL3
brazil,SANTANDER BRPN,Banco Santander Brasil SA,BRSANBACNPR5,BRL,SANB4
brazil,Santos Brasil Participacoes,Santos Brasil Participacoes SA,BRSTBPACNOR3,BRL,STBP3
brazil,CCX CARVAO ON,CCX Carvao da Colombia SA,BRCCXCACNOR5,BRL,CCXC3
brazil,CESP ON,Cia Energetica de Sao Paulo,BRCESPACNOR3,BRL,CESP3
brazil,GRAZZIOTIN ON,Grazziotin SA,BRCGRAACNOR2,BRL,CGRA3
brazil,CELESC PN,Celesc SA,BRCLSCACNPR3,BRL,CLSC4
brazil,COELCE ON,Cia Energetica do Ceara,BRCOCEACNOR0,BRL,COCE3
brazil,Taurus Armas ON,Taurus Armas ON,BRTASAACNOR7,BRL,TASA3
brazil,Cogna Educacao,Cogna Educacao,BRCOGNACNOR2,BRL,COGN3
brazil,LOCAMERICA ON NM,Cia de Locacao das Americas,BRLCAMACNOR3,BRL,LCAM3
brazil,RAIADROGASIL ON,Raia Drogasil SA,BRRADLACNOR0,BRL,RADL3
brazil,UNICASA ON,UNICASA Industria de Moveis SA,BRUCASACNOR1,BRL,UCAS3
brazil,Alupar Invest Unit,Alupar Investimento SA Unit,BRALUPCDAM15,BRL,ALUP11
brazil,Anima ON,Anima ON,BRANIMACNOR6,BRL,ANIM3
brazil,BBSEGURIDADE ON NM,BB Seguridade Participacoes SA,BRBBSEACNOR5,BRL,BBSE3
brazil,Biosev ON,Biosev ON,BRBSEVACNOR3,BRL,BSEV3
brazil,CPFL RENOVAVON NM,Cpfl Renovav ON,BRCPREACNOR5,BRL,CPRE3
brazil,CVC BRASIL ON NM,Cvc Brasil ON,BRCVCBACNOR1,BRL,CVCB3
brazil,LINX ON NM,Linx ON,BRLINXACNOR0,BRL,LINX3
brazil,Ser Educa ON,Ser Educa ON,BRSEERACNOR5,BRL,SEER3
brazil,Smiles Fidelidade,Smiles Fidelidade SA,BRSMLSACNOR1,BRL,SMLS3
brazil,Tupy ON,Tupy ON,BRTUPYACNOR1,BRL,TUPY3
brazil,Senior Solution,Senior Solution SA,BRSQIAACNOR6,BRL,SQIA3
brazil,Biomm On,Biomm On,BRBIOMACNOR2,BRL,BIOM3
brazil,KLABIN S/A UNT N2,Klabin Unt,BRKLBNCDAM18,BRL,KLBN11
brazil,Nutriplant,Nutriplant,BRNUTRACNOR0,BRL,NUTR3
brazil,Banco da Amazonia SA ON,Banco da Amazonia SA ON,BRBAZAACNOR0,BRL,BAZA3
brazil,CSHG Brasil Shopping,CSHG Brasil Shopping,BRHGBSCTF000,BRL,HGBS11
brazil,CSHG JHSF Prime Offices,CSHG JHSF Prime Offices,BRHGJHCTF006,BRL,HGPO11
brazil,Mercantil do Brasil,Mercantil do Brasil,BRMBRFCTF004,BRL,MBRF11
brazil,Tecnosolo Engenharia SA ON,Tecnosolo Engenharia SA ON,BRTCNOACNOR5,BRL,TCNO3
brazil,FII ABC IMOB,FII ABC IMOB,BRABCPCTF000,BRL,ABCP11
brazil,Fdo Inv Imob Rio Bravo Renda Educacional,Fdo Inv Imob Rio Bravo Renda Educacional,BRRBEDCTF006,BRL,RBED11
brazil,FII BB PRGII,FII BB PRGII,BRBBPOCTF003,BRL,BBPO11
brazil,FII BB CORP,FII BB CORP,BRBBRCCTF004,BRL,BBRC11
brazil,FII C JARDIM,FII C JARDIM,BRBBVJCTF001,BRL,BBVJ11
brazil,FII ABSOLUTO,FII ABSOLUTO,BRBPFFCTF002,BRL,BPFF11
brazil,FII BC FUND,FII BC FUND,BRBRCRCTF000,BRL,BRCR11
brazil,FII C TEXTIL,FII C TEXTIL,BRCTXTCTF014,BRL,CTXT11
brazil,FII CX TRX,FII CX TRX,BRCXTLCTF003,BRL,CXTL11
brazil,FII EUROPAR,FII EUROPAR,BREUROCTF011,BRL,EURO11
brazil,FII Rio Bravo Renda Corporativa,FII Rio Bravo Renda Corporativa,BRFFCICTF005,BRL,RCRB11
brazil,FII GEN SHOP,FII GEN SHOP,BRFIGSCTF009,BRL,FIGS11
brazil,FII FATORFIX,FII FATORFIX,BRFIXXCTF004,BRL,FIXX11
brazil,FII S F LIMA,FII S F LIMA,BRFLMACTF009,BRL,FLMA11
brazil,FII A BRANCA,FII A BRANCA,BRFPABCTF011,BRL,FPAB11
brazil,FII GWI RI,FII GWI RI,BRHMOCCTF005,BRL,HMOC11
brazil,FII CSHG CRI,FII CSHG CRI,BRHGCRCTF000,BRL,HGCR11
brazil,FII CSHG LOG,FII CSHG LOG,BRHGLGCTF004,BRL,HGLG11
brazil,FII HG REAL,FII HG REAL,BRHGRECTF006,BRL,HGRE11
brazil,FII JS REAL,FII JS REAL,BRJSRECTF007,BRL,JSRE11
brazil,FII KINEA RI,FII KINEA RI,BRKNCRCTF000,BRL,KNCR11
brazil,FII KII REAL,FII KII REAL,BRKNRECTF006,BRL,KNRE11
brazil,FII KINEA,FII KINEA,BRKNRICTF007,BRL,KNRI11
brazil,FII MAXI REN,FII MAXI REN,BRMXRFCTF008,BRL,MXRF11
brazil,FII THE ONE,FII THE ONE,BRONEFCTF003,BRL,ONEF11
brazil,FII D PEDRO,FII D PEDRO,BRPQDPCTF004,BRL,PQDP11
brazil,FII P VARGAS,FII P VARGAS,BRPRSVCTF008,BRL,PRSV11
brazil,FII JHSF FBV,FII JHSF FBV,BRRBBVCTF004,BRL,RBBV11
brazil,FII RIOBRCIB,FII RIOBRCIB,BRRBCBCTF004,BRL,RBCB11
brazil,FII RB GSB I,FII RB GSB I,BRRBGSCTF009,BRL,RBGS11
brazil,FII RB II,FII RB II,BRRBRDCTF008,BRL,RBRD11
brazil,FII RIOBCRI2,FII RIOBCRI2,BRRBVOCTF007,BRL,RBVO11
brazil,FII RD ESCRI,FII RD ESCRI,BRRDESCTF000,BRL,RDES11
brazil,FII BB R PAP,FII BB R PAP,BRRNDPCTF007,BRL,RNDP11
brazil,FII RIONEGRO,FII RIONEGRO,BRRNGOCTF003,BRL,RNGO11
brazil,FII SANT AGE,FII SANT AGE,BRSAAGCTF007,BRL,SAAG11
brazil,FII SDI LOG,FII SDI LOG,BRSDILCTF004,BRL,SDIL11
brazil,FII HIGIENOP,FII HIGIENOP,BRSHPHCTF008,BRL,SHPH11
brazil,FII SP DOWNT,FII SP DOWNT,BRSPTWCTF002,BRL,SPTW11
brazil,FII TBOFFICE,FII TBOFFICE,BRTBOFCTF006,BRL,TBOF11
brazil,FII TRX LOG,FII TRX LOG,BRTRXLCTF001,BRL,TRXL11
brazil,FII OLIMPIA,FII OLIMPIA,BRVLOLCTF009,BRL,VLOL11
brazil,FII FATOR VE,FII FATOR VE,BRVRTACTF008,BRL,VRTA11
brazil,FII XP MACAE,FII XP MACAE,BRXPCMCTF009,BRL,XPCM11
brazil,FII TRXE COR,FII TRXE COR,BRXTEDCTF006,BRL,XTED11
brazil,SANTANDER BRON,Banco Santander SA B3,BRSANBACNOR8,BRL,SANB3
brazil,SOMOS EDU S/A ON,Somos Educacao SA,BRSEDUACNOR1,BRL,SEDU3
brazil,Fras Le SA,Fras Le SA,BRFRASACNOR0,BRL,FRAS3
brazil,Duke Energy Intl Geracao Para,Duke Energy Intl Geracao Para,BRGEPAACNPR9,BRL,GEPA4
brazil,Ouro Fino Saude Animal Particip,Ouro Fino Saude Animal Particip,BROFSAACNOR7,BRL,OFSA3
brazil,Cosan Logistica SA,Cosan Logistica SA,BRRLOGACNOR4,BRL,RLOG3
brazil,Tec Toy SA,Tec Toy SA,BRTOYBACNOR4,BRL,TOYB3
brazil,Apple Inc BDR,Apple Inc BDR,BRAAPLBDR004,BRL,AAPL34
brazil,Abbott Laboratories BDR,Abbott Laboratories BDR,BRABTTBDR007,BRL,ABTT34
brazil,Amgen Inc BDR,Amgen Inc BDR,BRAMGNBDR004,BRL,AMGN34
brazil,Amazon.com Inc BDR,Amazon.com Inc BDR,BRAMZOBDR002,BRL,AMZO34
brazil,ArcelorMittal BDR,ArcelorMittal BDR,BRARMTBDR008,BRL,ARMT34
brazil,ATT Inc BDR,AT&T Inc BDR,BRATTBBDR007,BRL,ATTB34
brazil,American Express Co BDR,American Express Co BDR,BRAXPBBDR007,BRL,AXPB34
brazil,Berkshire Hathaway BDR,Berkshire Hathaway Inc BDR,BRBERKBDR002,BRL,BERK34
brazil,Bank of America Corp BDR,Bank of America Corp BDR,BRBOACBDR004,BRL,BOAC34
